date,action,price,reason,entry_price,profit
2023-01-06,BUY,52.27,高点突破: 52.27 > 51.19,,
2023-02-10,SELL,84.38,跌破前低: 84.38 < 85.03,52.27,61.431031184235685
2023-02-13,BUY,87.78,高点突破: 87.78 > 87.31,,
2023-02-20,SELL,84.1,跌破前低: 84.10 < 85.02,87.78,-4.192298929141042
2023-03-28,BUY,56.34,高点突破: 56.34 > 56.02,,
2023-03-29,SELL,54.79,跌破前低: 54.79 < 54.97,56.34,-2.7511537096201706
2023-04-03,BUY,56.49,高点突破: 56.49 > 56.23,,
2023-05-18,SELL,98.96,跌破前低: 98.96 < 99.47,56.49,75.18144804390155
2023-06-27,BUY,60.93,高点突破: 60.93 > 59.11,,
2023-06-30,SELL,57.4,跌破前低: 57.40 < 59.64,60.93,-5.793533563105205
2023-07-04,BUY,62.04,高点突破: 62.04 > 61.50,,
2023-08-11,SELL,92.62,跌破前低: 92.62 < 92.63,62.04,49.29078014184398
2023-09-25,BUY,50.37,高点突破: 50.37 > 50.32,,
2023-09-28,SELL,50.76,跌破前低: 50.76 < 51.42,50.37,0.774270399047053
2023-09-29,BUY,54.09,高点突破: 54.09 > 52.83,,
2023-11-06,SELL,87.97,跌破前低: 87.97 < 88.82,54.09,62.636346829358466
2023-11-07,BUY,89.27,高点突破: 89.27 > 89.14,,
2023-11-09,SELL,88.3,跌破前低: 88.30 < 88.79,89.27,-1.0865912400582491
2023-12-05,BUY,61.44,高点突破: 61.44 > 61.40,,
2023-12-06,SELL,55.57,跌破前低: 55.57 < 58.06,61.44,-9.55403645833333
2023-12-12,BUY,55.93,高点突破: 55.93 > 55.88,,
2023-12-14,SELL,51.66,跌破前低: 51.66 < 52.17,55.93,-7.634543178973723
